ID,식품명,상품명,식품대분류,식품상세분류,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
393,제육볶음,제육볶음,볶음류,육류볶음,487,11.8,30.4,35.5,0.9,8.9,1251.93
394,젤리,"젤리, 구미",농축산물,당류,344,77.53,7.5,0.42,50,0,5
395,조개구이,키조개구이,구이류,어패류구이,234,18.8,31.4,3.7,6.5,7.1,817.83
396,조기구이,조기구이,구이류,어패류구이,460,36.4,34.8,19.5,0,0.7,2456.07
397,조미김,조미김,구이류,어패류구이,23,1.4,1,1.5,0,1.2,200.55
398,족발,족발,찜류,육류찜,582,2.3,65.1,34.8,0,5.7,861.47
399,주꾸미볶음,주꾸미볶음,볶음류,어패류볶음,211.413,22.825,18.326,5.201,5.06,4.651,918.864
400,주먹밥,쇠고기주먹밥,밥류,김밥(초밥)류,355,69.5,9.5,4.4,0.4,3,713.2
401,주스,하루야채 오리지널,과/채주스,과/채주스,95,23,2,0,18,4,140
402,짜장면,짜장면,면 및 만두류,중식면류,529,86.2,16.2,13.3,36.4,8.2,1843.68
403,짬뽕,짬뽕,면 및 만두류,중식면류,464,66.1,22.3,12.3,12.5,12.7,1446.06
404,쨈빵,"빵, 잼빵",농축산물,곡류 및 그 제품,297,54.5,6.6,5.8,35.4,1.8,310
405,쪽갈비구이,궁매콤한쪽갈비,즉석조리식품,즉석조리식품,1425,207,61,40,75,0,4480
406,쫄면,쫄면,면 및 만두류,국수류,706,127.9,17.7,13.8,19.3,8.6,1377.01
407,쭈꾸미볶음,시래기보리밥&쭈꾸미볶음,즉석조리식품,즉석조리식품,295,45,13,7,2,0,543
408,찐빵,찐빵,빵류,앙금빵류,532,119.4,13,0.3,27.6,9.5,585.27
409,찜닭,찜닭,즉석조리식품,즉석조리식품,690,58,54,27,22,0,1380
410,참깨,"참깨, 검정깨, 볶은것",농축산물,견과류 및 종실류,539,27.42,21.28,42.3,0,19.3,1
411,참외,"참외, 씨 포함, 생것",농축산물,과실류,47,11.01,1.57,0.29,9.08,1.7,2
412,참치통조림,통조림 참치,농축산물,수산물,116,0,25.51,0.82,0,0,338
413,참치회,참치회,농축산물,수산물,31,0,6.63,0.27,0,0,10
414,채소주스,하루야채 오리지널,과/채주스,과/채주스,95,23,2,0,18,4,140
415,채소죽,채소죽,죽 및 스프류,죽류,173,30.5,6.7,2.8,0.7,6.1,894.77
416,천도복숭아,"복숭아, 황도, 생것",농축산물,과실류,49,13.03,0.4,0.04,9.29,4.3,2
417,청포도,"포도, 청포도(힘로드시드레스), 생것",농축산물,과실류,3,0.9,0.04,0.01,0.77,0,0
418,체리,"체리, 생것",농축산물,과실류,67,16.9,1.59,0.06,6.8,2.3,1
419,초밥,생선초밥(모듬),밥류,김밥(초밥)류,461.966,76.431,25.423,6.061,8.649,2.318,968.94
420,초코머핀,초코머핀,빵류,케이크류,560,0,11,0,39.5,0,406
421,초코아이스크림,초코아이스크림,아이스크림류,아이스크림류,190,30,4,6,24,0,105
422,초코우유,초코우유,가공유,가공유,286.53,40.12,6.68,11.46,38.2,0,200.57
423,초코케이크,초코케이크,빵류,빵류,350,37,7,20,11,0,150
424,초코쿠키,초코쿠키,과자,쿠키,520,55,9,30,21,0,170
425,초콜릿,초콜릿,음료 및 차류,커피류,243,0,0,0,0,0,0
426,총각김치,총각김치,김치류,김치,22,3.6,1,0.5,1.3,1.8,332
427,추어탕,추어탕,국 및 탕류,"어패류국,탕",316.72,26.8,22.7,13.2,0,18.5,2635.78
428,춘권,춘권,기타,기타,74,8.27,2.58,3.47,0.77,0.7,211
429,츄러스,츄러스,빵류,튀김빵류,486,11.94,0.73,7.35,6.55,0.2,37
430,치즈볼,치즈볼,튀김류,기타 튀김류,413,0,21,0,5,0,420
431,치즈스틱,치즈스틱,튀김류,기타 튀김류,805,0,47,0,2,0,1110
432,치즈피자,치즈피자,빵류,피자류,553,71.2,31.4,15.8,6.8,6.3,949.96
433,치커리,"치커리, 잎, 생것",농축산물,채소류,16,2.95,1.7,0.21,0,2,136
434,치킨너겟,치킨너겟,튀김류,치킨류,198,0,12,0,0,0,0
435,치킨카레,치킨카레볶음밥,즉석조리식품,즉석조리식품,440,68,15,12,3,0,850
436,칠리소스,스위트칠리소스,소스,소스,90,0,0,0,19,0,488
437,카나페,카나페,기타,기타,57,7.8,3.01,1.46,0.78,0.3,137
438,카라멜,카라멜,아이스크림류,아이스크림류,171.2,0,3.2,0,23.1,0,87.8
439,카레라이스,카레라이스,밥류,덮밥류,518,99.5,14.9,6.7,0.8,2.6,1007.05
440,카레소스,초록마을 카레소스,카레(커리),카레(커리),472,53.33,21.33,21.33,13.4,0,1165.3
441,카카오닙스,카카오닙스,기타,기타,190,11,4,15,0,0,0
442,카페모카,카페모카,음료 및 차류,커피류,317.2,0,7.7,0,38.2,0,125.7
443,카푸치노,카푸치노,음료 및 차류,커피류,150,0,6.6,0,10,0,103.3
444,카프레제샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
445,칼국수,칼국수,면 및 만두류,국수류,540,104.3,23.1,3.5,0,10.9,1542
446,캐러멜마끼아또,카라멜마끼아또,음료 및 차류,커피류,232,0,6.7,0,29.2,0,112.1
447,캘리포니아롤,캘리포니아롤,밥류,김밥(초밥)류,487.639,89.227,12.33,9.046,8.904,7.598,1295.878
448,커스터드크림,커스터드,가공식품,기타,232,26.47,12.37,8.54,27.4,0,215
449,커피,커피,아이스크림,아이스크림,270,21,5,18,12.7,0,85
450,컵라면,컵라면,유탕면,유탕면,305.92,44.54,4.35,12.22,1.75,0,803.84
451,케이크,초콜릿케이크,빵류,케이크류,420.243,43.597,5.315,24.955,23.129,2.43,170.001
452,케일,"케일, 생것",농축산물,채소류,26,4.61,3.11,0.24,0,3.2,47
453,케첩,케첩,토마토케첩,토마토케첩,10,0,0,0,2,0,120
454,코다리조림,코다리조림,조림류,어패류조림,86,4.2,16.5,0.4,3.7,12.9,465.52
455,코코아,"코코아, 밀크코코아, 가루 ",농축산물,차류,423,74.63,9.84,9.45,55.67,5.1,161
456,콜라비,콜라비,농축산물,채소류,27,6.2,1.7,0.1,2.6,3.6,20
457,콤비네이션피자,콤비네이션피자,빵류,피자류,548,51.1,21.3,28.7,9.7,5.1,882.61
458,콩국수,콩국수,면 및 만두류,국수류,651,71.4,31.2,26.8,1.9,15.2,532.23
459,콩나물,콩나물,숙채류,"나물,숙채류",25.344,0.944,1.68,1.65,0.02,1.527,213.95
460,콩나물국,콩나물국,국 및 탕류,"채소류국,탕",24,2.4,2.9,0.3,0.7,1.6,874.4
461,콩나물무침,콩나물무침,생채및 무침류,"나물,채소류무침",34,1.6,1.9,2.3,0.3,0.8,193.59
462,콩샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
463,콩자반,콩조림(콩자반),농축산물,두류,271,39.1,19.3,4.2,0,16.8,1067
464,쿠키,다크초콜릿카우보이쿠키,과자,과자,465,44,5,30,29,0,465
465,퀘사디아,햄&치즈 퀘사디아,빵류,샌드위치류,465,0,49,0,2,0,940
466,크래커,크래커,과자,크래커,504,64,8,24,16,0,340
467,크랜베리,"크랜베리, 생것",농축산물,과실류,46,11.97,0.46,0.13,4.27,3.6,2
468,크레페,초코포레누아크레페,빵류,빵류,294,28,5,18,20,0,160
469,크로와상,크로와상,빵류,빵류,495,42,10,32,6,0,360
470,크림치즈,씨푸드아일랜드 크림치즈R,빵류,피자류,309,0,14,0,7,0,587
471,크림파스타,크림파스타,숙면,숙면,560,58,16,30,10,2,980
472,키위,"키위, 생것",농축산물,과실류,64,14.8,0.8,1,0,0,2
473,타코야키,타코야끼,구이류,육류구이,29,4.28,1.3,0.63,0.06,0.2,27
474,탄산음료,토브 웰3 탄산음료,탄산음료,탄산음료,33.28,7.96,0,0.08,6.96,0,33.7
475,토마토샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
476,토마토주스,토마토주스,음료 및 차류,"과일,채소음료류",41,10.3,1.85,0.12,8.65,1,654
477,토스트,해피토스트,빵류,빵류,285,53,8,4.4,6,0,520
478,통밀빵,통밀빵,빵류,기타 빵류,765,0,19,0,36,0,770
479,티라미수,티라미수,아이스크림류,아이스크림류,164.6,0,4.2,0,23.8,0,95.8
480,파김치,파김치,김치류,김치,13,1.3,0.8,0.6,0.5,1.2,259.16
481,파니니,어니언 햄 모짜렐라 파니니,빵류,샌드위치류,386,0,11,0,4,0,0
482,파인애플,"파인애플, 생것",농축산물,과실류,53,14.32,0.46,0.04,10.26,2.5,0
483,파전,파전,"전,적 및 부침류",채소류전,292.799,34.807,6.834,14.026,0.787,6.189,345.962
484,파파야,"파파야, 생것",농축산물,과실류,38,9.8,0.7,0.1,0,0,9
485,파프리카,"파프리카, 빨간색, 데친것",농축산물,채소류,28,6.91,0.92,0.13,2.68,1.7,1
486,팝콘,팝콘,과자,기타과자,145,20,3,6,0,0,115
487,팥,"팥, 검정팥, 삶은것",농축산물,두류,156,27.15,9.49,0.86,0.28,13,1
488,팥죽,팥죽,죽 및 스프류,죽류,324,66.6,12.7,0.8,0.1,8.3,508.72
489,팬네파스타,콘길리에 파스타,면 및 만두류,스파게티류,638,0,34,0,8,0,1925
490,페퍼로니피자,페퍼로니피자,빵류,피자류,532,70.3,29.4,14.8,7.5,5.5,945.22
491,편육,쫄깃쫄깃 양념편육,프레스햄,프레스햄,345,10,17,26,0,0,360
492,포도,포도,아이스크림,아이스크림,217,26,4,11,19,0,61
493,폭립,바비큐폭립,구이류,육류구이,1421,0,94,0,18,0,1598
494,표고버섯,"표고버섯, 배지재배, 대, 생것",농축산물,버섯류,39,14.02,4.59,0.33,0.66,8.1,2
495,푸딩,"푸딩, 바닐라 가루, 우유에 섞은것",농축산물,당류,114,19.7,2.7,2.9,18.03,0,286
496,풋고추,"고추, 풋고추, 생것",농축산물,채소류,29,6.42,1.71,0.19,1.8,4.4,1
497,프레즐,프레즐,빵류,기타 빵류,250,0,7,0,5,0,310
498,프렌치토스트,햄치즈프렌치토스트,즉석섭취식품,즉석섭취식품,499,45,16,28,9,0,609
499,피망,"피망, 빨간색, 생것",농축산물,채소류,28,6.94,1.17,0.09,3.02,2,1
500,피스타치오,"피스타치오넛, 볶은것",농축산물,견과류 및 종실류,584,20.82,25.99,48.89,10.13,10,4
501,피자,피자,빵류,피자,402.75,3.6,17.1,19.8,0,0,1449
502,피칸,"피칸, 말린것",농축산물,견과류 및 종실류,691,13.86,9.17,71.97,3.97,9.6,0
503,하와이안피자,하와이안피자,빵류,피자류,672,90.1112,33.0836,19.856,26.4844,0,1018.1164
504,한과,한과,과자,한과류,37,7.93,0.48,0.41,3.6,0.2,15
505,한라봉,한라봉,샤베트,샤베트,160,36,0.9,1.3,34,0,15
506,할라피뇨,"할라피뇨, 통조림",농축산물,채소류,27,4.74,0.92,0.94,2.14,2.6,1671
507,할라피뇨피클,"할라피뇨, 통조림",농축산물,채소류,27,4.74,0.92,0.94,2.14,2.6,1671
508,함박스테이크,함박스테이크,구이류,육류구이,347,14.4,24.2,21.5,0.1,2.5,395.28
509,핫도그,핫도그,빵류,페이스트리류,242,18.03,10.39,14.54,0,0,44
510,핫소스,핫소스,기타,기타,1,0,0,0,0,0,12
511,핫윙,핫윙,튀김류,치킨류,204,0,22.1,0,0,0,703
512,핫초코,핫초코,음료 및 차류,차류,279,0,7.2,0,40,0,275.6
513,핫케이크,쵸코핫케이크 가루,기타가공품,기타가공품,375,81,7,2.3,24,0,640
514,해물덮밥,해물덮밥,밥류,덮밥류,561,93.63,29.93,6.84,10.98,2.5,649
515,해물볶음,해물볶음,볶음류,어패류볶음,419.06,32.2,38.2,15.3,7.4,9.2,1755.16
516,해물찜,해물찜,찜류,어패류찜,400.08,35.4,42.6,9.8,5.5,10.5,2137.21
517,해바라기씨,"해바라기씨, 말린것",농축산물,견과류 및 종실류,589,18.58,21.93,52.26,3.06,8.1,2
518,해시브라운,해쉬브라운,기타,기타,125,15,1,7,0,0,210
519,햄,햄,빵류,샌드위치류,290,0,1,0,18,0,800
520,햄볶음밥,햄볶음밥,즉석조리식품,즉석조리식품,430,66,10,14,10,0,900
521,햄샌드위치,햄샌드위치,빵류,샌드위치류,439,31.3,24.9,23.8,3.8,3.3,1397.4
522,햄치즈샌드위치,햄치즈샌드위치,빵류,샌드위치류,330,42,17,0,1,0,960
523,호두,농축산물,견과류 및 종실류,기타,26,0.55,0.61,2.61,0.1,0.3,0
524,호두파이,호두파이,빵류,기타 빵류,275,27,5,17,10,0,100
525,호박씨,"호박씨, 말린것",농축산물,견과류 및 종실류,548,5.34,35.35,48.18,0,4.9,6
526,호박전,호박전,"전,적 및 부침류",채소류전,208.104,16.096,6.478,13.09,2.847,6.874,276.953
527,호박죽,호박죽,죽 및 스프류,죽류,197,26.3,7.7,6.8,14.2,10.4,167.39
528,홍어무침,홍어무침,생채및 무침류,어패류무침,198.937,25.954,17.854,2.634,14.463,6.721,802.039
529,홍차,홍차,음료 및 차류,차류,2,0,0,0,0.2,0,0.2
530,화이트와인,화이트 식사용 와인,음료 및 차류,알코올(술),122,3.82,0.1,0,122,0,7
531,황태구이,황태구이,구이류,어패류구이,437.57,26.9,47.8,15.4,14.2,3,1135.33
532,회무침,회무침,생채및 무침류,어패류무침,203,21.5,20.2,4.1,11.3,6.5,686.98
533,후라이드치킨,후라이드치킨,튀김류,치킨류,530,21.3,35.5,33.7,0,0.8,386.81
534,후라이드치킨날개,후라이드치킨,튀김류,치킨류,530,21.3,35.5,33.7,0,0.8,386.81
535,후라이드치킨다리,후라이드 치킨(L),튀김류,치킨류,539.47,0,23.01,0,2.27,0,1023.14
536,후랑크소시지,후랑크소시지,소시지,소시지,233.2,6.2,16.6,14.8,1.2,0,546
537,후추,"후추, 검은후추, 가루 ",농축산물,조미료류,347,66.3,11.3,4.1,0,0,46
538,훈제연어,"연어, 훈제",농축산물,어패류 및 기타 수산물,169,0.3,23,7.7,0,0,793
539,훈제오리,훈제오리,구이류,육류구이,797.14,12.078,43.058,64.066,0.27,1.359,1220.367
540,훈제오리샐러드,훈제오리샐러드,신선편의식품,신선편의식품,294,29.3,10.4,15.4,16.7,0,739.8
541,흰죽,쇠고기흰죽,즉석조리식품,즉석조리식품,48,10.3,0.9,0.4,0.21,0,1
