ID,식품명,상품명,식품대분류,식품상세분류,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
184,무우,무,농축산물,채소류,19,3.94,0.79,0.12,2.46,1.9,45
185,문어,"문어, 생것",농축산물,어패류 및 기타 수산물,74,0.2,15.5,0.8,0,0,211
186,물냉면,물냉면,면 및 만두류,국수류,383,72.2,13.7,4.5,31.6,2.2,1128.25
187,물미역,"미역, 염장",농축산물,해조류,34,8.8,6,0.9,0,0,0
188,물회,물회,회류,회류,529.36,55.3,34.4,18.9,20,15.1,2095.9
189,뮤즐리,뮤즐리,기타,기타,110,25,2,1.1,3,0,45
190,미소장국,미소장국미역맛,즉석조리식품,즉석조리식품,24.4,3.3,1.7,0.5,2,0,925.8
191,미역국,미역국,국 및 탕류,"어패류국,탕",46,3.5,2.6,2.5,1.1,1.7,670.7
192,미역나물,"취나물, 개미취, 생것",농축산물,채소류,53,11.3,4.2,0.3,0,0,38
193,미역줄기볶음,미역줄기볶음,볶음류,어패류볶음,61,3.9,0.8,4.8,0.4,3.4,404.01
194,미트볼,미트볼,빵류,샌드위치류,480,0,7,0,21,0,1000
195,밀감,"귤, 온주밀감, 생것",농축산물,과실류,39,10.04,0.53,0.1,7.99,1.6,2
196,바게트빵,"빵, 바게트빵",농축산물,곡류 및 그 제품,279,57.5,9.4,1.3,1.8,2.7,620
197,바나나,바나나,아이스크림류,아이스크림류,169.7,0,3.7,0,27,0,88.1
198,바나나우유,바나나우유,가공유,가공유,150,23,4.6,4.2,21,0,100
199,바나나칩,바나나칩,과자,스낵과자,45.9,6,0.18,2.4,1.5,0,0
200,바닐라아이스크림,투썸아포카토용바닐라아이스크림,아이스크림,아이스크림,5192,29,3,12,20,0,65
201,바베큐치킨,바베큐치킨,프레스햄,프레스햄,180,8,17,9,6,0,400
202,밤,"밤, 생것",농축산물,견과류 및 종실류,151,33.39,3.28,0.5,4.95,5.4,1
203,밥,발아현미밥,즉석조리식품,즉석조리식품,305,65,7,2,0,0,15
204,방울토마토,"토마토, 방울토마토, 생것",농축산물,채소류,25,6.02,1,0.13,3.89,2.1,5
205,배추김치,배추김치,김치류,김치,10,1.3,0.7,0.3,0.9,0.8,123.03
206,백김치,백김치,김치류,김치,16,2.1,0.9,0.5,0.7,1,402.65
207,백도,"복숭아, 백도, 생것",농축산물,과실류,49,13.1,0.59,0.04,9.45,2.6,0
208,백향과,"백향과(패션프루트), 씨 포함, 생것",농축산물,과실류,100,22.58,1.68,1.55,8.58,6.5,1
209,버섯 장아찌,간장마늘쫑장아찌,장아찌 및 절임류,"장아찌,절임류",30,5.4,1,0.5,3.9,1.6,813.64
210,버터,버터,농축산물,유지류,761,1.81,0.59,82.04,4.65,0,10
211,버터쿠키,버터쿠키,과자,쿠키,42.84,5.22,0.36,2.16,2.3,0,52.92
212,번데기,"누에, 번데기, 통조림",농축산물,기타,99,0,9.6,6.7,0,0,404
213,베이글,베이글,빵류,기타 빵류,367,64.2,12,7,5.5,3.3,834.26
214,베이글샌드위치,햄&치즈베이글샌드위치,즉석섭취식품,즉석섭취식품,340,52,13,9,14,0,810
215,베이컨구이,더맛있는베이컨,베이컨류,베이컨류,295,7,17,22,0,0,240
216,베이컨피자,베이컨피자 L,빵류,피자류,543,0,11,0,5,0,500
217,보드카,"보드카, 알코올 40%",농축산물,주류,240,1.00E-05,0,0,0,0,1.00E-05
218,보리빵,보리빵,빵류,빵류,286,34.72,7.33,0,0,0,0
219,보쌈,마늘보쌈세트,찜류,육류찜,209,11,12,13,6,0,629
220,보이차,보이차,농축산물,차류,0,0,0.12,0,0.05,0,2
221,복숭아,복숭아,아이스크림류,아이스크림류,130.3,0,1.6,0,27.4,0,25.9
222,볶음면,불닭볶음면,유탕면,유탕면,530,0,0,0,7,0,1280
223,볶음쌀국수,쌀국수비빔면(철판볶음면),숙면,숙면,420,90,6,4.1,10,0,925
224,봉골레파스타,봉골레파스타,즉석섭취식품,즉석섭취식품,780,74,19,45,18,0,1300
225,부대찌개,부대찌개,찌개 및 전골류,"육류찌개,전골",399.5,39.7,18.4,18.6,6.2,9.1,2321.9
226,부추김치,부추김치,김치류,김치,23,3.2,1.3,0.6,2,1.9,380.66
