ID,식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),리보플라빈(mg),칼슘(mg),철분(mg)
0,"네모점보유부초밥, 미니우동, 도라에몽암기빵, 새우튀김, 칠리소스, 배추김치, 슬림슬라이스반달단무지, 초코두유",1033.6,165.1,28.8,21.0,115.7,0.5,336.5,6.0
1,"칼슘보리밥, 열무된장국, 보쌈, 쌈장, 콩나물파채무침, 비빔밀면, 보쌈김치, 수박",852.3,133.7,28.0,25.4,507.6,0.6,228.3,5.0
2,"칼슘, 곡혼합잡곡밥, 호박고추장찌개, 참나물생채, 소불고기, 알감자버터구이, 배추김치, 케이크",743.6,109.1,43.6,15.6,236.6,0.7,193.3,5.0
3,"칼슘찹쌀밥, 조랭이떡국, 근대나물, 닭볶음탕, 고구마츄러스맛탕, 배추김치, 바나나",945.0,159.1,39.8,21.9,447.9,0.6,205.8,7.0
4,"장조림버터비빔밥, 쑥갓어묵국, 취나물무침, 배추김치, 흑당버블라떼, 떡꼬치",1003.0,180.3,39.7,19.8,393.4,0.9,352.2,6.0
5,"차조밥, 닭개장, 온두부, 숙주미나리무침, 돈육김치볶음, 고구마순들깨볶음, 열무김치, 포도",596.7,78.7,40.4,14.5,210.5,0.6,321.8,4.0
6,"칼슘현미밥, 동태찌개, 오이생채, 감자채볶음, 파프리카, 닭봉데리야끼구이, 총각김치, 양반김, 요플레, 딸기, 복숭아",641.0,81.3,45.6,18.1,331.1,0.5,270.2,3.0
7,"칼슘흑미밥, 순댓국, 오이고추된장무침, 사각어묵볶음, 수제코다리살강정, 섞박지, 조각메론",719.2,116.2,27.2,16.4,128.4,0.5,196.2,6.0
8,"칼슘현미밥, 감자수제비국, 야채계란찜, 마늘쫑초장무침, 고추장불고기, 배추겉절이, 입찰, 사과, 배식용",633.6,101.7,34.7,13.6,399.4,0.7,226.5,4.0
9,"차슈덮밥, 콩나물국, 시금치무침, 치즈미트파이, 깍두기, 샤인머스캣음료수",1002.1,120.1,36.7,41.6,149.7,0.8,241.7,3.0
10,"칼슘, 곡혼합잡곡밥, 돈육김치찌개, 연근조림, 얼갈이된장무침, 대패오리간장불고기, 에그타르트, 열무김치",776.6,102.8,33.9,25.2,160.2,0.8,231.6,4.0
11,"칼슘찹쌀밥, 육개장, 청경채무침, 가지나물, 에그타르트, 펜네소스함박, 배추겉절이, 입찰",813.7,110.3,31.2,27.9,194.2,0.5,250.6,3.0
12,"칼슘찹쌀밥, 부대찌개, 치커리사과무침, 건파래볶음, 베이컨말이연어, 웨지, 유자크림, 총각김치, 파인애플",645.1,93.1,22.8,21.3,86.6,0.4,231.3,3.0
13,"칼슘수수밥, 쇠고기무국, 도토리묵참나물무침, 미역줄기볶음, 닭갈비, 배추겉절이, 입찰, 아이스홍시",618.8,100.4,38.1,11.9,333.7,0.6,178.4,3.0
14,"짜장밥, 단무지깻잎무침, 깐쇼새우, 만두, 배추김치, 요구르트",1089.7,156.5,34.9,35.4,88.1,0.9,344.3,1.0
15,"칼슘, 곡혼합잡곡밥, 파이, 콩가루배추된장국, 돼지갈비찜, 녹두전, 총각김치, 영양부추무침",889.1,109.5,46.2,28.8,311.8,0.8,202.9,6.0
16,"곤드레나물밥, 팽이유부된장국, 반마리치킨, 배추김치, 블루베리무피클, 양반김, 수리취떡, 양배추샐러드, 케첩, 마요드레싱, 양배추샐러드, 케첩, 마요드레싱",920.1,124.0,46.3,31.2,174.1,0.6,194.8,6.0
17,"칼슘찹쌀밥, 쇠고기미역국, 파프리카잡채, 돈카츠, 소스, 배추김치, 수박롤케이크, 토마토카프리제",840.9,116.1,33.7,26.7,151.0,0.5,370.9,3.0
18,"칼슘, 곡혼합잡곡밥, 아욱된장국, 두부쑥갓무침, 마늘쫑볶음, 오리고추장불고기, 배추겉절이, 입찰, 양반김",735.0,85.1,30.4,31.2,415.6,0.9,327.9,5.0
19,"칼슘찹쌀밥, 순두부찌개, 연근조림, 탕평채, 파채돈육불고기, 배추김치, 방울토마토",601.2,91.9,32.9,13.3,268.9,0.8,240.3,4.0
20,"칼슘흑미밥, 화이트슈, 떡국, 도토리묵참나물무침, 비엔나케찹볶음, 오징어스틱, 타르타르소스, 배추김치",856.7,109.4,29.7,30.8,173.0,0.4,158.8,3.0
21,"칼슘수수밥, 육개장, 돈육메추리알장조림, 얼갈이된장무침, 시금치프리타타, 배추겉절이, 입찰, 참외",726.7,85.6,49.9,22.3,347.2,1.2,382.8,5.0
22,"칼슘찹쌀밥, 단호박카레, 세발나물, 장각구이, 배추김치, 메론주스",608.2,101.1,25.3,14.2,386.3,0.5,262.8,3.0
23,"칼슘, 곡혼합잡곡밥, 마라탕, 짜사이무침, 마파두부, 꿔바로우, 배추김치, 요구르트",992.1,153.5,36.1,25.0,206.6,0.6,250.8,2.0
24,"칼슘현미밥, 달걀국, 취나물무침, 돈육짜장불고기, 스팸감자구이, 배추겉절이, 입찰, 청포도",573.0,90.1,34.3,10.8,150.2,0.6,183.5,4.0
25,"칼슘흑미밥, 부대찌개, 치커리유자청무침, 깻잎동그랑땡전, 삼치구이, 잠발라야소스, 섞박지, 파인애플",587.3,89.1,35.2,10.5,194.7,0.5,165.3,4.0
26,"칼슘현미밥, 근대된장국, 비름나물무침, 닭볶음탕, 어향가지튀김, 배추김치, 뻉오쇼콜라",676.8,126.7,24.9,11.2,480.0,0.6,203.0,4.0
27,"추억의옛날도시락, 쑥갓어묵국, 시금치무침, 핫도그, 케첩, 깍두기, 과일주스",750.2,115.1,33.9,17.3,700.4,0.6,388.1,4.0
28,"칼슘, 곡혼합잡곡밥, 막국수, 부찬, 감자수제비국, 브로콜리버섯볶음, 구워먹는닭갈비, 배추김치, 요플레, 딸기, 복숭아",772.5,119.2,44.3,15.6,417.2,0.6,318.3,3.0
29,"차조밥, 오징어무국, 알감자조림, 도라지오이생채, 언양식불고기, 배추겉절이, 입찰, 바나나",703.3,106.7,30.5,19.3,48.6,0.5,181.8,3.0
30,"칼슘찹쌀밥, 옥수수스프, 진미채무침, 통등심돈까스, 배추김치, 케이크, 요거트과일샐러드",841.9,120.6,30.4,27.2,70.1,0.3,167.0,2.0
31,"칼슘, 곡혼합잡곡밥, 김치콩나물국, 두부조림, 새송이초무침, 찜닭, 순살, 깍두기, 아이스망고",611.4,97.3,26.1,10.5,322.6,0.9,210.6,3.0
32,"김밥볶음밥, 가쓰오장국, 밀떡볶이, 김말이튀김, 오징어튀김, 배추김치, 바나나우유",1045.0,162.6,34.8,29.0,883.7,0.7,419.6,1.0
33,"칼슘현미밥, 돈육김치찌개, 고등어무조림, 고춧잎무침, 부쳐먹는우리팜, 배추겉절이, 입찰, 조각메론",549.2,73.1,36.1,13.3,191.5,0.8,223.2,4.0
34,"추가밥, 로제소스스파게티, 플레로티사각피자, 배추김치, 딸기요거트드레싱, 야채피클, 아이스크림, 그린샐러드",866.2,96.2,34.0,15.2,266.0,0.3,156.8,1.0
35,"칼슘, 곡혼합잡곡밥, 북어채무국, 방풍나물무침, 오삼불고기, 사각어묵볶음, 회오리감자, 배추겉절이, 입찰",818.0,117.9,37.0,22.3,229.5,0.4,246.0,3.0
36,"칼슘찹쌀밥, 닭가슴살미역국, 찹쌀콩잔멸치볶음, 훈제오리, 머스터드, 인용, 배추김치, 부추적채무침, 케이크",621.9,74.1,27.6,25.1,54.3,0.4,170.9,3.0
37,"칼슘, 곡혼합잡곡밥, 샐러드파스타, 꼬치어묵국, 참나물무침, 목살찹스테이크, 배추김치, 찰떡, 초코, 크림치즈",843.0,117.3,37.5,23.7,183.4,0.5,241.5,4.0
38,"칼슘수수밥, 감자양파국, 근대나물, 오리고추장불고기, 오징어김치전, 총각김치, 사과, 배식용",606.6,95.2,27.5,15.0,186.8,0.5,171.7,3.0
39,"칼슘찹쌀밥, 하이라이스, 몬테크리스토샌드위치, 오이지무침, 배추김치, 딸기우유",808.3,132.2,31.4,17.2,228.2,0.7,334.3,2.0
40,"칼슘기장밥, 콩나물국, 불닭, 콘치즈구이, 배추겉절이, 입찰, 연두부, 양념장, 바나나",806.8,104.7,46.0,24.6,218.5,0.5,295.9,4.0
41,"칼슘현미밥, 닭곰탕, 온두부, 얼갈이된장무침, 애호박나물, 돈육김치볶음, 꽈배기, 오이소박이",747.5,90.6,46.8,22.9,190.4,0.6,269.3,8.0
42,"칼슘기장밥, 파이, 닭개장, 시금치무침, 가자미유린기, 미트볼조림, 총각김치",803.1,96.6,43.5,28.0,355.4,0.7,229.3,4.0
43,"추가밥, 홍합짬뽕, 짜장면, 단무지깻잎무침, 제주돼지탕수육, 배추김치, 요구르트",581.9,99.2,26.1,12.5,232.5,0.8,189.3,1.0
44,"굴소스야채볶음밥, 굴소스야채볶음밥, 가쓰오장국, 취나물무침, 소떡소떡, 배추김치, 과일주스",705.2,128.2,22.5,11.4,617.2,0.5,234.8,4.0
45,"칼슘, 곡혼합잡곡밥, 버섯된장국, 콩나물파채무침, 모듬삼겹살구이, 배추겉절이, 입찰, 레몬무쌈, 파인애플",641.2,83.6,32.3,21.6,145.3,0.6,205.3,5.0
46,"칼슘수수밥, 순두부백탕, 도토리묵상추무침, 닭갈비, 볼어묵볶음, 총각김치, 배",856.5,124.8,49.5,24.3,430.1,1.0,289.2,5.0
47,"칼슘흑미밥, 뼈없는감자탕, 메추리알곤약조림, 오이고추된장무침, 수제코다리살강정, 섞박지, 파인애플",784.8,126.0,44.5,14.2,327.0,1.1,319.2,6.0
48,"칼슘, 곡혼합잡곡밥, 경상도식무국, 돼지갈비찜, 애느타리깨소스무침, 스크램블에그, 맛살, 배추김치, 짜요짜요",844.6,92.3,53.6,27.5,268.2,1.0,199.9,5.0
49,"나물비빔밥, 얼갈이된장국, 계란후라이, 크리미양파치킨, 깍두기, 몽글몽글복숭아에이드",938.9,122.2,40.0,35.6,588.0,0.8,248.1,5.0
50,"칼슘수수밥, 호박고추장찌개, 깻잎찜, 숙회, 초장, 돈육불고기, 배추김치, 케이크",621.9,99.2,37.0,12.8,400.0,0.7,223.9,4.0
51,"칼슘현미밥, 얼큰김치감자수제비국, 숙주미나리무침, 가지나물, 로제찜닭, 백김치, 오렌지, 농산",660.0,106.6,32.0,13.2,128.5,0.3,209.9,2.0
52,"칼슘찹쌀밥, 쇠고기미역국, 진미채무침, 콩나물잡채, 고구마치즈돈까스, 소스, 배추김치, 뻥이요",849.5,120.0,35.8,25.0,95.7,0.4,330.5,3.0
53,"칼슘, 곡혼합잡곡밥, 쇠고기무국, 돈사태김치찜, 청포묵김가루무침, 애호박나물, 츄러스, 배추겉절이, 입찰",618.8,77.5,41.1,15.8,160.4,0.7,185.1,4.0
54,"치킨마요덮밥, 팽이유부된장국, 시금치무침, 밀떡볶이, 배추김치, 과일주스",836.3,114.1,33.4,29.2,679.3,0.7,251.3,5.0
55,"칼슘보리밥, 참치김치찌개, 보쌈, 쌈장, 실곤약야채무침, 양파간장절임, 보쌈김치, 방울토마토",638.2,93.2,40.5,13.4,193.4,0.6,232.5,5.0
56,"칼슘찹쌀밥, 콩나물국, 치커리사과무침, 닭불구이, 고구마치즈, 배추김치, 망고푸딩, 옥수수콘샐러드",718.5,91.8,32.3,21.2,115.6,0.4,300.9,3.0
57,"칼슘흑미밥, 설렁탕, 소면, 오이고추된장무침, 사각어묵볶음, 삼치구이, 데리야끼, 섞박지, 요구르트",663.0,106.1,36.1,8.6,52.7,0.6,159.2,4.0
58,"칼슘, 곡혼합잡곡밥, 냉이된장국, 숙주미나리무침, 고추장불고기, 고구마맛탕, 배추김치, 사과, 배식용",731.2,143.1,30.4,10.9,286.8,0.6,236.6,7.0
59,"김치볶음밥, 쵸핑, 가쓰오장국, 맛살겨자냉채, 너비아니, 깍두기, 초코우유",775.6,105.6,35.4,23.1,137.2,0.5,341.8,5.0
60,"칼슘기장밥, 돈육김치찌개, 참나물생채, 찜닭, 순살, 명엽채볶음, 총각김치, 조각메론",706.0,103.2,51.1,11.7,309.0,0.8,224.2,4.0
61,"칼슘찹쌀밥, 감자양파국, 돼지갈비찜, 청경채무침, 해물파전, 배추김치, 견과믹스",866.7,111.1,46.6,28.7,285.2,0.8,235.3,4.0
62,"콩나물밥, 양념장, 얼갈이된장국, 무생채, 브로콜리버섯볶음, 수제코다리살강정, 배추김치, 양반김",661.2,120.1,33.5,9.7,356.5,1.0,294.1,5.0
63,"칼슘찹쌀밥, 조랭이떡국, 취나물무침, 감자채볶음, 파프리카, 구워먹는닭갈비, 배추김치, 바나나",852.6,128.6,50.6,18.1,351.4,0.6,214.1,4.0
64,"추가밥, 토마토스파게티, 배추김치, 야채피클, 마늘바게트, 워터젤리, 복숭아, 치킨텐더샐러드",707.1,118.1,26.3,20.4,208.9,1.0,95.6,3.0
65,"칼슘, 곡혼합잡곡밥, 육개장, 비빔야채만두, 미역줄기볶음, 대패오리간장불고기, 배추겉절이, 입찰, 요거트",929.2,122.1,43.2,31.3,403.4,0.9,369.8,5.0
66,"칼슘흑미밥, 감자수제비국, 야채계란찜, 콩나물무침, 주꾸미떡볶음, 배추김치, 쿠키",789.3,130.1,42.0,13.5,316.2,0.8,273.0,6.0
67,"칼슘현미밥, 부대찌개, 돌나물초장무침, 건파래볶음, 피쉬앤칩스, 총각김치, 타르타르소스, 파인애플",812.7,117.1,28.5,28.0,118.2,0.6,217.7,4.0
68,"칼슘, 곡혼합잡곡밥, 화이트슈, 북어채무국, 우엉연근조림, 도라지오이생채, 닭볶음탕, 배추겉절이, 입찰",751.4,105.1,45.8,14.5,328.2,0.7,205.1,4.0
69,"칼슘찹쌀밥, 단호박카레, 뉴욕핫도그, 오이지무침, 배추김치, 비피더스",842.7,111.2,30.2,24.6,314.1,0.6,314.3,3.0
70,"칼슘수수밥, 바지락살미역국, 파프리카잡채, 찹쌀콩잔멸치볶음, 통등심돈까스, 배추김치, 마카롱",817.2,122.8,31.7,22.6,97.0,0.4,221.0,3.0
71,"봄나물보리비빔밥, 약고추장, 팽이유부된장국, 팽이유부된장국, 계란후라이, 구워먹는닭갈비, 배추김치, 요구르트",898.6,139.4,58.0,19.5,1030.2,1.2,362.8,8.0
72,"칼슘찹쌀밥, 콩나물국, 삼치무조림, 야채계란찜, 취나물무침, 사각어묵볶음, 배추김치",748.3,110.2,50.4,13.2,437.3,1.1,402.9,8.0
73,"칼슘흑미밥, 얼갈이된장국, 매콤감자조림, 참나물생채, 파채돈육불고기, 배추김치, 상추, 쌈장",703.9,113.9,40.5,13.1,606.2,1.0,399.4,7.0
74,"짜장면, 달걀국, 만두, 배추김치, 슬림슬라이스반달단무지, 그린샐러드",889.4,89.1,38.1,45.0,429.2,1.2,331.6,1.0
75,"봄동된장국, 돼지갈비찜, 오이생채, 애호박, 새송이전, 배추김치",639.5,46.0,57.1,29.3,555.0,1.3,353.2,6.0
76,"조랭이떡국, 콩나물무침, 감자채볶음, 파프리카, 구워먹는닭갈비, 배추김치",838.1,119.3,50.1,20.8,254.9,0.6,194.2,4.0
77,"참치김치찌개, 야채계란찜, 파채돈육불고기, 가지나물, 배추겉절이, 입찰, 상추, 쌈장",545.1,40.0,50.7,23.3,418.4,1.5,385.9,8.0
78,"짬뽕순두부국, 세발나물, 마파두부, 탕수육, 소스, 배추겉절이, 입찰, 양반김, 요구르트",831.4,81.7,50.2,38.4,577.1,1.0,441.4,3.0
79,"근대된장국, 야채계란찜, 파채돈육불고기, 사각어묵볶음, 배추겉절이, 입찰, 딸기, 상추, 쌈장",676.7,54.6,57.8,28.5,819.4,1.6,502.6,1.0
80,"추가밥, 투움바파스타, 플레로티사각피자, 배추김치, 야채피클, 케이크, 방학꾸러미, 양상추황도샐러드",1239.9,97.2,42.7,53.5,227.2,0.2,197.1,3.0
81,"칼슘흑미밥, 감자수제비국, 고등어무조림, 취나물무침, 떡갈비, 배추겉절이, 입찰, 귤",727.6,97.7,38.4,22.2,235.6,0.9,283.8,6.0
82,"장조림버터비빔밥, 가쓰오장국, 시금치무침, 파닭꼬치, 배추김치, 과일주스",1160.9,136.8,59.3,41.6,406.4,1.0,326.2,2.0
83,"칼슘기장밥, 달걀국, 숙회, 초장, 애호박나물, 돈육짜장불고기, 배추겉절이, 입찰, 요플레",763.7,93.3,56.1,20.5,318.0,0.9,469.7,4.0
84,"칼슘, 곡혼합잡곡밥, 돈육김치찌개, 비빔야채만두, 대패오리간장불고기, 마늘쫑볶음, 깍두기, 파인애플",907.8,124.8,38.8,29.2,226.1,0.8,208.0,4.0
85,"칼슘보리밥, 도라에몽암기빵, 아욱된장국, 보쌈, 쌈장, 비빔밀면, 보쌈김치, 무말랭이무침",999.4,145.7,32.0,29.5,496.1,0.7,300.3,8.0
86,"칼슘, 곡혼합잡곡밥, 홍합무국, 도토리묵상추무침, 찜닭, 순살, 브로콜리버섯볶음, 배추겉절이, 입찰, 양반김, 맛밤",736.3,115.0,41.8,14.4,371.9,0.8,182.0,5.0
87,"땡초고기주먹밥, 잔치국수, 오징어초무침, 만두, 배추김치, 청포도주스",936.0,151.2,38.5,20.7,1459.8,0.8,249.8,1.0
88,"칼슘찹쌀밥, 부대찌개, 숙주미나리무침, 수제코다리살강정, 닭봉데리야끼구이, 호떡, 총각김치",973.9,135.6,56.9,23.0,112.8,0.6,218.3,4.0
89,"칼슘현미밥, 쇠고기무국, 온두부, 참나물무침, 돈육김치볶음, 물파래옥수수전, 배추겉절이, 입찰, 사과, 배식용",724.0,104.9,33.1,20.3,204.7,0.7,247.2,5.0
90,"칼슘수수밥, 콩나물국, 미역오이초무침, 오삼불고기, 사각어묵볶음, 배추겉절이, 입찰, 쿠키",775.9,118.2,33.6,21.9,211.1,0.5,207.3,3.0
91,"칼슘현미밥, 설렁탕, 소면, 상추겉절이, 어향가지튀김, 너비아니, 섞박지, 딸기",675.3,97.3,33.9,16.4,56.9,0.5,117.4,5.0
92,"칼슘찹쌀밥, 쇠고기미역국, 진미채무침, 콩나물잡채, 바베큐폭립, 배추김치, 케이크",793.1,98.6,44.0,24.6,127.8,0.4,228.5,3.0
93,"칼슘, 곡혼합잡곡밥, 순두부백탕, 탕평채, 고구마순들깨볶음, 오리고추장불고기, 배추겉절이, 입찰, 배",760.2,100.5,36.0,23.6,189.7,0.6,229.8,5.0
94,"칼슘찹쌀밥, 동태찌개, 동태찌개, 시금치무침, 찹쌀콩잔멸치볶음, 펜네소스함박, 배추김치, 파인애플",735.3,105.6,39.8,18.4,354.0,0.5,316.7,4.0
95,"칼슘, 곡혼합잡곡밥, 뼈없는감자탕, 오이고추된장무침, 깻잎동그랑땡전, 가자미유린기, 섞박지, 귤",898.0,114.1,60.0,23.6,315.9,0.9,299.6,6.0
96,"칼슘흑미밥, 쇠고기무국, 근대나물, 미역줄기볶음, 통마늘고추장불고기, 총각김치, 붕어빵",885.8,134.9,30.8,26.8,347.8,0.5,185.9,4.0
97,"참치마요덮밥, 가쓰오장국, 취나물무침, 소떡소떡, 배추김치, 초코우유",979.7,151.8,39.2,24.6,285.0,0.8,423.8,7.0
98,"칼슘찹쌀밥, 참치김치찌개, 상추파채무침, 양파간장절임, 모듬삼겹살구이, 배추겉절이, 입찰, 매실주스",743.5,94.1,30.2,27.8,87.8,0.6,198.8,4.0
99,"칼슘현미밥, 쑥갓어묵국, 콩나물무침, 불닭, 콘치즈구이, 배추김치, 바나나",902.1,119.1,50.3,27.2,241.0,0.4,349.4,3.0
100,"콩나물국, 육개장, 돼지갈비찜, 견과류단호박찜, 오이생채, 새송이버섯전, 허브고등어구이, 배추김치, 배추겉절이, 입찰, 연두부, 양념장, 유자차, 컵과일, 그린샐러드",2972.8,274.8,209.3,139.8,2095.3,4.5,811.7,2.0
101,"추가밥, 옥수수스프, 토마토스파게티, 고추듬뿍넣었닭, 배추김치, 오리엔탈드레싱, 야채피클, 빼빼로, 그린샐러드",840.2,126.0,34.1,26.4,249.2,1.0,151.4,4.0
102,"칼슘, 곡혼합잡곡밥, 버섯된장국, 참나물생채, 소불고기, 알감자버터구이, 배추겉절이, 입찰, 조각메론",770.2,117.3,47.1,14.1,154.8,0.8,201.9,6.0
103,"칼슘찹쌀밥, 닭가슴살미역국, 파프리카잡채, 치즈돈까스, 배추김치, 찹쌀떡, 단호박고구마샐러드",995.9,153.3,32.8,29.8,238.0,0.5,321.0,3.0
104,"칼슘, 곡혼합잡곡밥, 아욱된장국, 돼지갈비찜, 숙주미나리무침, 해물파전, 총각김치, 방울토마토",847.3,109.2,49.7,24.4,542.2,0.9,244.9,5.0
105,"칼슘수수밥, 감자수제비국, 오이생채, 닭볶음탕, 볼어묵볶음, 배추겉절이, 입찰, 조각단감",806.5,133.5,43.0,17.7,476.5,0.6,228.7,4.0
106,"깍두기볶음밥, 콩나물국, 유자단무지맛살냉채, 새송이떡갈비, 배추김치, 비피더스",735.9,96.1,35.1,25.8,265.0,0.6,346.9,4.0
107,"칼슘흑미밥, 부대찌개, 치커리유자청무침, 순대야채볶음, 고등어데리야끼구이, 백김치, 사과, 배식용",728.5,127.0,31.3,14.4,404.4,0.7,201.6,6.0
108,"칼슘기장밥, 경상도식무국, 계란말이, 훈제오리, 머스터드, 인용, 섞박지, 부추적채무침, 플리또, 레몬무쌈",668.2,76.4,36.7,24.9,192.1,0.8,177.6,5.0
109,"칼슘기장밥, 설렁탕, 당면, 오이고추된장무침, 생선까스, 타르타르소스, 슬라이스햄구이, 섞박지, 포도",819.9,107.5,31.3,29.2,31.2,0.3,105.1,4.0
110,"칼슘수수밥, 홍합무국, 우엉연근조림, 돈사태김치찜, 숙주미나리무침, 배추겉절이, 입찰, 바나나",451.3,98.4,15.7,2.4,104.1,0.5,152.5,3.0
111,"나물비빔밥, 팽이유부된장국, 계란후라이, 핫도그, 케첩, 백김치, 딸기우유",970.2,152.2,41.6,24.2,576.4,1.1,551.3,7.0
112,"칼슘, 곡혼합잡곡밥, 북어채무국, 도토리묵참나물무침, 가지나물, 순대닭갈비, 배추겉절이, 입찰, 매실주스",889.5,119.8,50.8,23.3,281.1,0.7,216.8,8.0
113,"칼슘찹쌀밥, 샐러드파스타, 참치김치찌개, 시금치무침, 목살찹스테이크, 배추김치, 케이크",954.6,123.7,41.6,33.2,355.8,0.7,278.2,5.0
114,"칼슘찹쌀밥, 닭개장, 깻잎순나물, 베이컨말이연어, 웨지, 유자크림, 배추김치, 양반김",669.9,85.0,25.7,27.1,370.1,0.4,241.6,3.0
115,"추가밥, 홍합짬뽕, 짜장면, 단무지깻잎무침, 제주돼지탕수육, 배추김치, 요구르트",504.8,85.9,22.7,10.4,187.4,0.7,161.5,9.0
116,"김밥볶음밥, 꼬치어묵국, 밀떡볶이, 김말이튀김, 배추김치, 찰떡, 초코, 크림치즈",818.2,146.9,27.5,14.7,226.5,0.5,212.6,1.0
117,"칼슘현미밥, 근대된장국, 찹쌀콩잔멸치볶음, 훈제오리김치볶음, 시금치프리타타, 배추겉절이, 입찰, 요플레, 딸기, 복숭아",704.4,81.8,37.9,25.6,308.0,0.7,414.0,4.0
118,"칼슘, 곡혼합잡곡밥, 부대찌개, 비빔야채만두, 건파래볶음, 삼치구이, 데리야끼, 배추겉절이, 입찰, 조각메론",652.5,101.5,35.4,11.6,137.0,0.6,217.7,4.0
119,"칼슘현미밥, 아욱된장국, 두부조림, 애느타리깨소스무침, 찜닭, 순살, 총각김치, 요플레, 딸기, 복숭아",779.3,108.2,47.2,19.3,464.6,1.1,370.7,5.0
120,"칼슘찹쌀밥, 하이라이스, 수제크로크무슈, 오이지무침, 배추김치, 워터젤리, 복숭아",630.6,111.5,24.0,10.3,153.9,0.4,226.7,1.0
121,"칼슘수수밥, 감자양파국, 돼지갈비찜, 콩나물무침, 배추김치, 사과, 배식용, 연두부, 양념장",777.4,107.6,41.3,23.4,236.0,0.9,180.7,4.0
122,"칼슘찹쌀밥, 쇠고기미역국, 진미채무침, 파프리카잡채, 고구마돈까스, 소스, 배추김치, 초품떡",810.5,123.6,32.2,21.0,117.0,0.4,220.7,4.0
123,"칼슘수수밥, 깨찰빵, 부대찌개, 돈육메추리알장조림, 무생채, 마늘쫑볶음, 배추겉절이, 입찰",769.5,94.6,46.8,18.7,163.9,1.1,208.0,5.0
124,"고추참치볶음밥, 가쓰오장국, 고구마츄러스맛탕, 파닭꼬치, 깍두기, 요구르트",849.0,129.1,33.8,24.1,135.0,0.4,206.2,1.0
125,"칼슘, 곡혼합잡곡밥, 꽃게된장국, 두부쑥갓무침, 감자채볶음, 파프리카, 오리고추장불고기, 배추김치, 아이스망고",730.5,98.9,30.5,20.5,322.5,0.6,240.9,4.0
126,"칼슘현미밥, 호박고추장찌개, 탕평채, 근대나물, 돈육불고기, 배추겉절이, 입찰, 사과, 배식용",636.4,107.8,32.6,12.2,388.9,0.7,189.6,3.0
127,"칼슘기장밥, 홍합짬뽕, 숙주미나리무침, 마파두부, 가자미빵가루튀김, 배추겉절이, 입찰, 조각메론",713.7,107.0,42.9,14.0,285.0,0.7,250.0,1.0
128,"치킨마요덮밥, 쑥갓어묵국, 오이생채, 만두, 배추김치, 과일주스",946.8,117.7,40.2,37.1,203.4,0.6,228.8,1.0
129,"칼슘, 곡혼합잡곡밥, 쇠고기무국, 돼지갈비찜, 삼색나물, 오색전, 동그랑땡, 배추겉절이, 입찰, 식혜",928.9,111.5,49.5,30.0,253.6,0.8,191.7,4.0
130,"칼슘현미밥, 열무된장국, 청경채무침, 사각어묵볶음, 구워먹는닭갈비, 총각김치, 레몬무쌈",762.1,119.7,43.3,14.4,373.4,0.6,272.1,4.0
131,"칼슘찹쌀밥, 단호박카레, 타코야끼, 배추김치, 초코우유, 요거트과일샐러드",902.5,151.6,24.7,24.8,299.6,0.5,304.9,4.0
132,"칼슘보리밥, 닭곰탕, 취나물무침, 애호박나물, 통마늘고추장불고기, 배추겉절이, 입찰, 방울토마토",716.0,108.5,44.8,15.5,362.2,0.7,191.6,5.0
133,"추가밥, 토마토스파게티, 배추김치, 야채피클, 마늘바게트, 구슬아이스크림, 치킨텐더샐러드",823.1,124.5,33.2,27.5,206.6,1.0,99.8,3.0
134,"칼슘수수밥, 감자수제비국, 참나물생채, 궁중떡볶이, 허브고등어구이, 배추김치, 마카롱",740.5,128.7,27.7,14.0,178.7,0.6,197.8,3.0
135,"칼슘찹쌀밥, 마라탕, 짜사이무침, 계란말이, 꿔바로우, 배추김치, 양반김",912.2,135.3,37.9,26.0,316.2,1.0,220.1,1.0
136,"지코바치밥, 팽이유부된장국, 도라지오이생채, 콤비네이션피자, 배추김치, 감귤주스",833.4,123.6,45.4,21.4,243.9,0.5,231.5,4.0
137,"칼슘현미밥, 뼈없는감자탕, 양파간장절임, 비엔나케찹볶음, 해물파전, 섞박지, 조각메론",753.7,118.6,40.3,15.2,285.5,0.8,262.7,4.0
138,"칼슘흑미밥, 조랭이떡국, 열무된장무침, 미역줄기볶음, 닭볶음탕, 배추겉절이, 입찰, 포도",821.9,133.3,43.6,15.6,435.3,0.6,212.1,4.0
139,"김치볶음밥, 쵸핑, 미니우동, 유자단무지맛살냉채, 떡갈비, 깍두기, 제리뽀젤리",819.1,128.3,32.4,19.0,144.7,0.4,215.8,4.0
140,"칼슘, 곡혼합잡곡밥, 콩나물국, 도토리묵참나물무침, 치즈불닭, 열무김치, 바나나, 옥수수콘샐러드",999.7,134.5,47.7,31.0,275.9,0.6,337.7,3.0
141,"칼슘찹쌀밥, 생크림오믈렛, 닭가슴살미역국, 진미채무침, 통등심돈까스, 돈까스소스, 배추김치, 토마토카프리제",741.5,99.8,36.2,22.4,108.7,0.4,328.1,3.0
142,"칼슘, 곡혼합잡곡밥, 순댓국, 오이고추된장무침, 수제코다리살강정, 미트볼조림, 섞박지, 사과, 배식용",993.3,147.9,37.1,27.1,224.3,0.6,187.8,7.0
