ID,식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),리보플라빈(mg),칼슘(mg),철분(mg)
1560,"산채비빔밥, 중, 우동장국, 계란후라이, 중, 찰도그롤, 중, 배추김치, 중, 약고추장, 중, 요구르트, 중",639.4,92.9,30.0,9.7,571.4,0.6,249.1,4.0
1561,"현미찹쌀밥, 중, 도토리수제비국, 중, 미트볼퐁듀, 중, 안동식찜닭, 중, 매콤콩나물무침, 중, 깍두기, 중, 오렌지",955.5,112.8,52.4,36.2,317.1,0.9,578.0,4.0
1562,"현미찹쌀밥, 중, 소고기우거지국, 중, 돈육폭찹, 중, 크런키통새우볼, 타르다르소스, 배추김치, 간, 사과푸딩, 중",719.7,93.3,42.9,21.2,1034.6,0.5,192.1,4.0
1563,"자장밥, 중, 맑은콩나물국, 중, 등심찹쌀탕수육, 소스, 중, 배추김치, 중, 사과주스, 중, 콘후레이크핫도그, 중",930.6,167.2,34.0,18.3,159.4,0.7,251.2,1.0
1564,"현미찹쌀밥, 중, 닭곰탕, 중, 우엉채어묵조림, 중, 군만두, 야채비빔, 중, 소시지케찹볶음, 중, 배추김치, 중, 바나나, 중",908.1,136.1,36.8,26.7,189.4,0.6,176.0,1.0
1565,"현미찹쌀밥, 중, 햄모듬찌개, 중, 근대된장무침, 중, 건파래자반, 중, 새우까스, 카레소스, 중, 깍두기, 중",681.1,103.2,33.9,19.2,371.9,0.4,245.0,4.0
1566,"현미찹쌀밥, 중, 된장찌개, 중, 돼지갈비떡찜, 중, 실곤약채소무침, 중, 명태살두부전, 케찹, 중, 총각김치, 중, 스틱젤리",807.1,112.2,44.1,21.1,1035.2,0.7,240.2,5.0
1567,"현미찹쌀밥, 중, 새알심탕, 중, 올망개묵김무침, 중, 뼈없는닭갈비, 중, 수제에그파이, 중, 배추김치, 중, 파인애플, 중",826.7,123.5,45.5,20.0,213.6,0.4,196.3,5.0
1568,"오븐, 우리밀스틱마늘빵, 중, 생오이피클, 중, 미트소스스파게티, 중, 케이준치킨샐러드, 중, 감귤한라봉주스, 중",947.3,129.8,36.3,35.8,331.1,0.6,199.8,3.0
1569,"현미찹쌀밥, 중, 김치콩나물국, 중, 사과오이초무침, 중, 베이컨쌀국수볶음, 중, 수제한돈스테이크, 소스, 중, 깍두기, 중",865.9,123.1,51.1,19.2,207.6,0.6,222.6,5.0
1570,"현미찹쌀밥, 중, 설렁탕, 소면, 중, 시금치고추장무침, 중, 장각오븐구이, 중, 석박지, 중, 짜먹는요플레, 중",805.4,89.9,46.6,28.3,311.1,0.4,110.4,3.0
1571,"현미찹쌀밥, 중, 오징어무국, 중, 누룽지난자완스, 중, 도토리묵무침, 중, 옥수수치즈구이, 중, 배추김치, 중, 오렌지",891.6,127.6,45.7,24.5,397.5,0.6,515.4,5.0
1572,"현미찹쌀밥, 중, 순두부찌개, 바지락, 중, 유채나물무침, 중, 삼치구이, 데리야끼소스, 중, 안심돈육강정, 중, 총각김치, 중, 초코슈",739.4,90.1,36.7,26.7,174.1,0.3,250.8,5.0
1573,"카레라이스, 중, 닭봉바베큐조림, 중, 듀얼쨈파이, 중, 깍두기, 중, 딸기라떼",821.4,134.2,40.4,18.4,387.9,0.5,214.4,4.0
1574,"현미찹쌀밥, 중, 조랭이떡국, 중, 우리쌀미니초코붕어빵, 돈육메추리알장조림, 중, 청포묵김무침, 중, 깍두기, 중, 수제망고라씨, 중",896.1,119.8,44.8,24.0,323.8,1.0,316.1,5.0
1575,"현미찹쌀밥, 중, 크림스프, 중, 통등심돈가스, 중, 오븐웨지감자구이, 중, 배추김치, 중, 브라운애플소스, 중, 와사비마요양배추샐러드, 중",963.2,126.1,31.2,38.5,71.3,0.4,192.4,2.0
1576,"현미찹쌀밥, 중, 해물짬뽕국, 중, 궁중떡갈비볼숙주찜, 중, 들깨오이치커리무침, 중, 해쉬브라운, 케찹, 소, 배추김치, 중, 마시는요거트, 베리, 중",904.5,130.8,37.9,27.8,231.3,0.6,336.7,5.0
1577,"현미찹쌀밥, 중, 소고기미역국, 중, 쫄면채소무침, 중, 돈육김치볶음, 중, 동그랑땡전, 중, 김구이, 중, 치즈블링브라우니, 중",765.0,106.5,46.4,19.7,373.6,0.7,224.6,7.0
1578,"날치알김치볶음밥, 중, 미소장국, 중, 자장떡볶이, 중, 닭꼬치구이, 중, 깍두기, 중, 파인애플, 중",850.0,133.2,40.3,18.5,259.6,0.8,260.6,1.0
1579,"현미찹쌀밥, 중, 어묵매운탕, 중, 유자단무지맛살냉채, 중, 돼지고기청경채볶음, 중, 계란사각햄구이, 중, 배추김치, 중, 요구르트, 중",654.9,91.0,48.7,11.3,236.1,0.8,254.0,4.0
1580,"현미찹쌀밥, 중, 계란북어국, 중, 숙주미나리무침, 중, 대패오리바베큐소스볶음, 중, 소떡소떡, 중, 배추김치, 중, 마카롱",824.7,125.6,33.7,23.2,260.9,0.5,195.8,4.0
1581,"비밥찜닭, 중, 미소장국, 중, 미니돈가스, 케찹, 중, 배추김치, 중, 마시는요거트, 베리, 중, 우리밀초코파이, 중",849.4,125.6,52.4,12.8,170.7,0.5,284.1,4.0
1582,"카레라이스, 중, 참나물무침, 중, 프렌치토스트, 중, 깍두기, 중, 망고주스, 중, 파인애플, 중",672.0,120.4,21.6,15.9,230.6,0.4,158.2,4.0
1583,"현미찹쌀밥, 중, 소고기무국, 중, 매콤돈사태찜, 중, 숙주당근무침, 중, 타코야끼, 중, 배추김치, 중, 딸기, 중",824.7,99.3,40.9,30.8,241.5,0.8,151.3,4.0
1584,"김치나베우동, 중, 우리쌀떡볶이, 중, 케이준치킨텐더, 김말이튀김, 중, 단무지, 중, 감귤한라봉주스",844.0,133.9,28.8,22.5,251.4,0.5,245.3,9.0
1585,"현미찹쌀밥, 중, 된장찌개, 중, 쫄면채소무침, 중, 돈육폭찹, 중, 감자베이컨치즈전, 중, 배추김치, 중, 요구르트, 중",855.6,139.2,45.3,16.4,374.6,0.8,314.3,6.0
1586,"현미찹쌀밥, 중, 한방닭곰탕, 중, 청포묵김무침, 중, 고기완자전, 중, 임연수어구이, 잠발라소스, 중, 배추김치, 중, 귤, 중",718.9,94.5,44.5,18.5,217.0,0.5,136.3,9.0
1587,"파인애플볶음밥, 중, 미니쌀국수, 중, 통새우짜조롤, 중, 깍두기, 중, 마카롱, 귤샐러드, 요구르트드레싱, 중",722.0,129.5,24.5,11.3,714.6,0.3,139.1,3.0
1588,"현미찹쌀밥, 중, 햄모듬찌개, 중, 쑥갓무침, 중, 건파래자반, 중, 북채후라이드, 중, 총각김치, 중, 파인애플, 중",630.9,80.4,37.5,20.8,330.0,0.4,197.1,3.0
1589,"현미찹쌀밥, 중, 소고기샤브국, 중, 콩나물무침, 중, 돈육고추장볶음, 중, 오븐웨지감자구이, 중, 배추김치, 중, 망고맛제리뽀, 중",691.6,104.7,42.3,15.2,272.8,0.7,224.8,3.0
1590,"현미찹쌀밥, 중, 돈등뼈감자탕, 중, 메추리알스테이크소스조림, 중, 열무된장무침, 중, 새우까스, 카레소스, 중, 깍두기, 중, 한라봉, 중",979.0,124.5,59.0,29.8,415.9,0.9,382.5,7.0
1591,"카레볶음밥, 중, 유부미소장국, 중, 브로콜리초무침, 중, 계란후라이, 중, 뱅글뱅글소시지, 중, 배추김치, 중, 청포도주스, 중",828.7,91.9,39.9,35.1,264.4,0.7,230.7,5.0
1592,"참치야채비빔밥, 중, 감자미역국, 중, 육전, 중, 깐풍만두, 중, 깍두기, 중, 떠먹는요구르트, 중",932.8,124.8,46.5,29.0,383.8,0.8,323.8,8.0
1593,"현미찹쌀밥, 중, 설렁탕, 삼색묵무침, 중, 바베큐소스어묵조림, 중, 수제치킨탕수육, 중, 석박지, 중, 탕수육소스, 중, 귤, 중",749.0,108.6,49.7,15.0,149.9,0.4,128.9,3.0
1594,"현미찹쌀밥, 중, 호박새우젓국, 중, 돈육등갈비찜, 중, 명엽채볶음, 중, 피자, 단팥춘권, 중, 배추김치, 중, 사과, 중",710.0,100.9,37.0,18.0,139.6,0.4,207.0,4.0
1595,"브로콜리스프, 중, 생오이피클, 중, 미트소스스파게티, 중, 치즈콤비네이션피자, 중, 귤, 중, 그린샐러드, 딸기요거트드레싱, 중",793.8,120.6,27.4,26.0,273.4,0.4,215.2,2.0
1596,"현미찹쌀밥, 중, 얼갈이된장국, 중, 골뱅이배무침, 중, 베이컨쌀국수볶음, 중, 수제한돈스테이크, 소스, 중, 배추김치, 중, 요구르트, 중",987.0,146.8,57.7,19.6,417.4,0.8,337.2,6.0
1597,"미소장국, 중, 마파두부덮밥, 중, 단무지채무침, 중, 콘마요파이, 중, 배추김치, 중, 비타초코우, 중",945.8,110.1,36.3,40.8,247.8,0.7,405.5,5.0
1598,"현미찹쌀밥, 중, 어묵매운탕, 중, 오절판, 무쌈, 중, 돈육간장불고기, 중, 에그토르티아, 중, 배추김치, 중, 그린키위, 중",752.0,116.2,46.4,12.9,368.2,0.7,231.8,4.0
1599,"현미찹쌀밥, 중, 도토리수제비국, 중, 안동식찜닭, 중, 시금치무침, 중, 수제브리오쉬번핫도그, 중, 배추김치, 중, 파인애플, 중",674.5,89.1,32.1,12.2,391.0,0.6,185.8,3.0
1600,"현미찹쌀밥, 중, 순두부찌개, 바지락, 중, 삼색냉채, 중, 삼치구이, 데리야끼소스, 중, 안심돈육강정, 중, 오이김치, 중",718.5,93.9,37.4,21.2,114.9,0.3,215.3,5.0
1601,"현미찹쌀밥, 중, 맑은콩나물국, 중, 주꾸미낙지볶음, 중, 통등심돈가스, 중, 배추김치, 중, 브라운애플소스, 중, 짜먹는요플레, 중",869.6,122.5,45.3,23.9,223.4,0.5,205.4,4.0
1602,"잔치국수, 중, 파채무침, 중, 새우튀김, 중, 언양식불고기, 중, 깍두기, 중, 요구르트, 중, 바나나, 중",653.1,97.2,37.1,14.4,122.1,0.6,231.6,3.0
1603,"현미찹쌀밥, 중, 육개장, 중, 알감자간장조림, 중, 들깨오이치커리무침, 중, 피자치즈롤까스, 중, 배추김치, 중, 브라운애플소스, 중, 사과주스, 중",772.5,123.4,23.9,22.2,147.6,0.4,201.5,3.0
1604,"현미찹쌀밥, 중, 근대된장국, 중, 오향장육, 중, 콩나물파채무침, 중, 고구마, 떡맛탕, 중, 배추김치, 중, 단감",834.7,130.2,40.4,21.0,228.6,0.7,246.8,4.0
1605,"단화차오판, 계란볶음밥, 중, 탄탄면, 중, 오이부추무침, 중, 닭다리오븐구이, 중, 깍두기, 중, 사과푸딩, 중",749.2,92.9,38.6,23.8,133.0,0.7,235.3,3.0
1606,"현미찹쌀밥, 중, 동태찌개, 중, 참나물무침, 중, 감자채햄볶음, 중, 김치치즈함박스테이크, 중, 배추김치, 중, 황금향",741.6,105.3,39.8,20.2,296.0,0.5,367.0,4.0
1607,"현미찹쌀밥, 절반, 크루통크림스프, 중, 마카로니샐러드, 중, 수제돈까스, 중, 깍두기, 중, 돈까스소스, 중, 떠먹는요구르트, 중",818.3,114.3,38.5,21.7,122.5,0.6,203.0,2.0
